SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-27-2021,Multi-Family (2-4 Unit),7 Prescott St,Boston,MA,02128,1075000,4,4.0,East Boston,1890,1300,1900,82,569,,Sold,,,https://www.redfin.com/MA/EAST-BOSTON/7-PRESCOTT-ST-02128/home/9120393,MLS PIN,72906858,N,Y,42.380493,-71.030997
PAST SALE,,Condo/Co-op,42 Joy St #11,Boston,MA,02114,925000,2,1.5,,1000,,1865,,925,,,,,https://www.redfin.com/MA/Boston/42-Joy-St-02114/unit-11/home/9244737,,,N,Y,42.3598341,-71.0651939
PAST SALE,February-15-2022,Condo/Co-op,110 Stuart St Unit 22_G,Boston,MA,02116,2145000,2,2.5,Back Bay,1871,,2009,32,1146,2053,Sold,,,https://www.redfin.com/MA/Boston/110-Stuart-St-02116/unit-22G/home/39598050,MLS PIN,72932767,N,Y,42.3509348,-71.0655937
PAST SALE,January-24-2022,Townhouse,43 Chelsea St #43,Boston,MA,02129,1422020,3,2.5,Charlestown,1849,,2000,54,769,1065,Sold,,,https://www.redfin.com/MA/Boston/43-Chelsea-St-02129/unit-43/home/138441165,MLS PIN,72891056,N,Y,42.3724715,-71.0597462
PAST SALE,,Condo/Co-op,1 Franklin St #2211,Boston,MA,02110,1370000,1,1.0,,948,,2016,,1445,,,,,https://www.redfin.com/MA/Boston/1-Franklin-St-02110/unit-2211/home/145254508,,,N,Y,42.3553811,-71.0568886
PAST SALE,March-10-2022,Condo/Co-op,135 Seaport Blvd #916,Boston,MA,02210,999000,1,1.0,Seaport District,648,,2020,9,1542,1220,Sold,,,https://www.redfin.com/MA/Boston/135-Seaport-Blvd-02210/unit-916/home/169060381,MLS PIN,72933106,N,Y,42.3509604,-71.0439013
PAST SALE,February-23-2022,Condo/Co-op,135 Seaport Blvd #1706,Boston,MA,02210,1595000,2,2.0,Seaport District,1011,,2020,24,1578,1850,Sold,,,https://www.redfin.com/MA/Boston/135-Seaport-Blvd-02210/unit-1706/home/169646063,MLS PIN,72922371,N,Y,42.3509604,-71.0439013
PAST SALE,February-22-2022,Condo/Co-op,135 Seaport Blvd #1802,Boston,MA,02210,3445000,3,3.5,Seaport District,1891,,2020,25,1822,3816,Sold,,,https://www.redfin.com/MA/Boston/135-Seaport-Blvd-02210/unit-1802/home/169728867,MLS PIN,72924982,N,Y,42.3509604,-71.0439013
PAST SALE,January-28-2022,Condo/Co-op,61 Elm St #2,Boston,MA,02129,990000,2,2.0,Charlestown,1325,,1870,50,747,208,Sold,,,https://www.redfin.com/MA/Charlestown/61-Elm-St-02129/unit-2/home/176540936,MLS PIN,72900397,N,Y,42.3784933,-71.0627682
PAST SALE,February-22-2022,Condo/Co-op,46 Eutaw St #2,Boston,MA,02128,610000,2,2.0,East Boston's Eagle Hill,880,,1845,25,693,200,Sold,,,https://www.redfin.com/MA/Boston/46-Eutaw-St-02128/unit-2/home/176849974,MLS PIN,72911667,N,Y,42.3792639,-71.0378618
